metal,source,freq,as_of_date,metric,value,unit,is_imputed,method,quality,quality_notes,load_run_id,raw_file,raw_checksum
GOLD,GLD,D,2025-12-15,gld_holdings_oz,33812711.76,oz,False,daily,ok,,20260112_093023,GLD_US_archive_EN.csv,36ab1d40f692441f4e42586cf4996ce3
GOLD,GLD,D,2025-12-16,gld_holdings_oz,33812711.76,oz,False,daily,ok,,20260112_093023,GLD_US_archive_EN.csv,36ab1d40f692441f4e42586cf4996ce3
GOLD,GLD,D,2025-12-17,gld_holdings_oz,33840301.43,oz,False,daily,ok,,20260112_093023,GLD_US_archive_EN.csv,36ab1d40f692441f4e42586cf4996ce3
GOLD,GLD,D,2025-12-18,gld_holdings_oz,33840301.43,oz,False,daily,ok,,20260112_093023,GLD_US_archive_EN.csv,36ab1d40f692441f4e42586cf4996ce3
GOLD,GLD,D,2025-12-19,gld_holdings_oz,33840301.43,oz,False,daily,ok,,20260112_093023,GLD_US_archive_EN.csv,36ab1d40f692441f4e42586cf4996ce3
GOLD,GLD,D,2025-12-22,gld_holdings_oz,34226537.25,oz,False,daily,ok,,20260112_093023,GLD_US_archive_EN.csv,36ab1d40f692441f4e42586cf4996ce3
GOLD,GLD,D,2025-12-23,gld_holdings_oz,34226537.25,oz,False,daily,ok,,20260112_093023,GLD_US_archive_EN.csv,36ab1d40f692441f4e42586cf4996ce3
GOLD,GLD,D,2025-12-24,gld_holdings_oz,34346084.19,oz,False,daily,ok,,20260112_093023,GLD_US_archive_EN.csv,36ab1d40f692441f4e42586cf4996ce3
GOLD,GLD,D,2025-12-26,gld_holdings_oz,34438041.35,oz,False,daily,ok,,20260112_093023,GLD_US_archive_EN.csv,36ab1d40f692441f4e42586cf4996ce3
GOLD,GLD,D,2025-12-29,gld_holdings_oz,34465627.32,oz,False,daily,ok,,20260112_093023,GLD_US_archive_EN.csv,36ab1d40f692441f4e42586cf4996ce3
GOLD,GLD,D,2025-12-30,gld_holdings_oz,34465627.32,oz,False,daily,ok,,20260112_093023,GLD_US_archive_EN.csv,36ab1d40f692441f4e42586cf4996ce3
GOLD,GLD,D,2025-12-31,gld_holdings_oz,34419651.81,oz,False,daily,ok,,20260112_093023,GLD_US_archive_EN.csv,36ab1d40f692441f4e42586cf4996ce3
GOLD,GLD,D,2026-01-02,gld_holdings_oz,34244948.06,oz,False,daily,ok,,20260112_093023,GLD_US_archive_EN.csv,36ab1d40f692441f4e42586cf4996ce3
GOLD,GLD,D,2026-01-05,gld_holdings_oz,34244948.06,oz,False,daily,ok,,20260112_093023,GLD_US_archive_EN.csv,36ab1d40f692441f4e42586cf4996ce3
GOLD,GLD,D,2026-01-06,gld_holdings_oz,34309310.53,oz,False,daily,ok,,20260112_093023,GLD_US_archive_EN.csv,36ab1d40f692441f4e42586cf4996ce3
GOLD,GLD,D,2026-01-07,gld_holdings_oz,34309310.53,oz,False,daily,ok,,20260112_093023,GLD_US_archive_EN.csv,36ab1d40f692441f4e42586cf4996ce3
GOLD,GLD,D,2026-01-08,gld_holdings_oz,34309310.53,oz,False,daily,ok,,20260112_093023,GLD_US_archive_EN.csv,36ab1d40f692441f4e42586cf4996ce3
GOLD,GLD,D,2026-01-09,gld_holdings_oz,34226561.45,oz,False,daily,ok,,20260112_093023,GLD_US_archive_EN.csv,36ab1d40f692441f4e42586cf4996ce3
