metal,source,freq,as_of_date,metric,value,unit,is_imputed,method,quality,quality_notes,load_run_id,raw_file,raw_checksum
GOLD,LBMA,M,2016-07-01,lbma_holdings_oz,234144000.0,oz,False,month_end,ok,,20260112_093028,lbma_vault_holdings.csv,67696e87a99983d31bdf58431d27002c
SILVER,LBMA,M,2016-07-01,lbma_holdings_oz,951433000.0,oz,False,month_end,ok,,20260112_093028,lbma_vault_holdings.csv,67696e87a99983d31bdf58431d27002c
GOLD,LBMA,M,2016-08-01,lbma_holdings_oz,239742000.0,oz,False,month_end,ok,,20260112_093028,lbma_vault_holdings.csv,67696e87a99983d31bdf58431d27002c
SILVER,LBMA,M,2016-08-01,lbma_holdings_oz,957798000.0,oz,False,month_end,ok,,20260112_093028,lbma_vault_holdings.csv,67696e87a99983d31bdf58431d27002c
GOLD,LBMA,M,2016-09-01,lbma_holdings_oz,244025000.0,oz,False,month_end,ok,,20260112_093028,lbma_vault_holdings.csv,67696e87a99983d31bdf58431d27002c
SILVER,LBMA,M,2016-09-01,lbma_holdings_oz,969175000.0,oz,False,month_end,ok,,20260112_093028,lbma_vault_holdings.csv,67696e87a99983d31bdf58431d27002c
GOLD,LBMA,M,2016-10-01,lbma_holdings_oz,246141000.0,oz,False,month_end,ok,,20260112_093028,lbma_vault_holdings.csv,67696e87a99983d31bdf58431d27002c
SILVER,LBMA,M,2016-10-01,lbma_holdings_oz,978229000.0,oz,False,month_end,ok,,20260112_093028,lbma_vault_holdings.csv,67696e87a99983d31bdf58431d27002c
GOLD,LBMA,M,2016-11-01,lbma_holdings_oz,246055000.0,oz,False,month_end,ok,,20260112_093028,lbma_vault_holdings.csv,67696e87a99983d31bdf58431d27002c
SILVER,LBMA,M,2016-11-01,lbma_holdings_oz,993303000.0,oz,False,month_end,ok,,20260112_093028,lbma_vault_holdings.csv,67696e87a99983d31bdf58431d27002c
GOLD,LBMA,M,2016-12-01,lbma_holdings_oz,241881000.0,oz,False,month_end,ok,,20260112_093028,lbma_vault_holdings.csv,67696e87a99983d31bdf58431d27002c
SILVER,LBMA,M,2016-12-01,lbma_holdings_oz,1004313000.0,oz,False,month_end,ok,,20260112_093028,lbma_vault_holdings.csv,67696e87a99983d31bdf58431d27002c
GOLD,LBMA,M,2017-01-01,lbma_holdings_oz,238887000.0,oz,False,month_end,ok,,20260112_093028,lbma_vault_holdings.csv,67696e87a99983d31bdf58431d27002c
SILVER,LBMA,M,2017-01-01,lbma_holdings_oz,1010942000.0,oz,False,month_end,ok,,20260112_093028,lbma_vault_holdings.csv,67696e87a99983d31bdf58431d27002c
GOLD,LBMA,M,2017-02-01,lbma_holdings_oz,238776000.0,oz,False,month_end,ok,,20260112_093028,lbma_vault_holdings.csv,67696e87a99983d31bdf58431d27002c
SILVER,LBMA,M,2017-02-01,lbma_holdings_oz,1010268000.0,oz,False,month_end,ok,,20260112_093028,lbma_vault_holdings.csv,67696e87a99983d31bdf58431d27002c
GOLD,LBMA,M,2017-03-01,lbma_holdings_oz,239488000.0,oz,False,month_end,ok,,20260112_093028,lbma_vault_holdings.csv,67696e87a99983d31bdf58431d27002c
