metal,source,freq,as_of_date,metric,value,unit,is_imputed,method,quality,quality_notes,load_run_id,raw_file,raw_checksum
COPPER,LME,D,2024-10-01,lme_cancelled_mt,33650.0,mt,False,daily,ok,,20260112_100249,copper_daily_summary.csv,f9ab01005112fd96d4071e714f0d001f
COPPER,LME,D,2024-10-01,lme_closing_mt,300275.0,mt,False,daily,ok,,20260112_100249,copper_daily_summary.csv,f9ab01005112fd96d4071e714f0d001f
COPPER,LME,D,2024-10-01,lme_delivered_in_mt,150.0,mt,False,daily,ok,,20260112_100249,copper_daily_summary.csv,f9ab01005112fd96d4071e714f0d001f
COPPER,LME,D,2024-10-01,lme_delivered_out_mt,50.0,mt,False,daily,ok,,20260112_100249,copper_daily_summary.csv,f9ab01005112fd96d4071e714f0d001f
COPPER,LME,D,2024-10-01,lme_open_interest_mt,266625.0,mt,False,daily,ok,,20260112_100249,copper_daily_summary.csv,f9ab01005112fd96d4071e714f0d001f
COPPER,LME,D,2024-10-01,lme_opening_mt,300175.0,mt,False,daily,ok,,20260112_100249,copper_daily_summary.csv,f9ab01005112fd96d4071e714f0d001f
COPPER,LME,D,2024-10-02,lme_cancelled_mt,31475.0,mt,False,daily,ok,,20260112_100249,copper_daily_summary.csv,f9ab01005112fd96d4071e714f0d001f
COPPER,LME,D,2024-10-02,lme_closing_mt,298100.0,mt,False,daily,ok,,20260112_100249,copper_daily_summary.csv,f9ab01005112fd96d4071e714f0d001f
COPPER,LME,D,2024-10-02,lme_delivered_in_mt,0.0,mt,False,daily,ok,,20260112_100249,copper_daily_summary.csv,f9ab01005112fd96d4071e714f0d001f
COPPER,LME,D,2024-10-02,lme_delivered_out_mt,2175.0,mt,False,daily,ok,,20260112_100249,copper_daily_summary.csv,f9ab01005112fd96d4071e714f0d001f
COPPER,LME,D,2024-10-02,lme_open_interest_mt,266625.0,mt,False,daily,ok,,20260112_100249,copper_daily_summary.csv,f9ab01005112fd96d4071e714f0d001f
COPPER,LME,D,2024-10-02,lme_opening_mt,300275.0,mt,False,daily,ok,,20260112_100249,copper_daily_summary.csv,f9ab01005112fd96d4071e714f0d001f
COPPER,LME,D,2024-10-03,lme_cancelled_mt,31975.0,mt,False,daily,ok,,20260112_100249,copper_daily_summary.csv,f9ab01005112fd96d4071e714f0d001f
COPPER,LME,D,2024-10-03,lme_closing_mt,298525.0,mt,False,daily,ok,,20260112_100249,copper_daily_summary.csv,f9ab01005112fd96d4071e714f0d001f
COPPER,LME,D,2024-10-03,lme_delivered_in_mt,600.0,mt,False,daily,ok,,20260112_100249,copper_daily_summary.csv,f9ab01005112fd96d4071e714f0d001f
COPPER,LME,D,2024-10-03,lme_delivered_out_mt,175.0,mt,False,daily,ok,,20260112_100249,copper_daily_summary.csv,f9ab01005112fd96d4071e714f0d001f
COPPER,LME,D,2024-10-03,lme_open_interest_mt,266550.0,mt,False,daily,ok,,20260112_100249,copper_daily_summary.csv,f9ab01005112fd96d4071e714f0d001f
COPPER,LME,D,2024-10-03,lme_opening_mt,298100.0,mt,False,daily,ok,,20260112_100249,copper_daily_summary.csv,f9ab01005112fd96d4071e714f0d001f
COPPER,LME,D,2024-10-04,lme_cancelled_mt,30725.0,mt,False,daily,ok,,20260112_100249,copper_daily_summary.csv,f9ab01005112fd96d4071e714f0d001f
COPPER,LME,D,2024-10-04,lme_closing_mt,297300.0,mt,False,daily,ok,,20260112_100249,copper_daily_summary.csv,f9ab01005112fd96d4071e714f0d001f
COPPER,LME,D,2024-10-04,lme_delivered_in_mt,25.0,mt,False,daily,ok,,20260112_100249,copper_daily_summary.csv,f9ab01005112fd96d4071e714f0d001f
COPPER,LME,D,2024-10-04,lme_delivered_out_mt,1250.0,mt,False,daily,ok,,20260112_100249,copper_daily_summary.csv,f9ab01005112fd96d4071e714f0d001f
COPPER,LME,D,2024-10-04,lme_open_interest_mt,266575.0,mt,False,daily,ok,,20260112_100249,copper_daily_summary.csv,f9ab01005112fd96d4071e714f0d001f
COPPER,LME,D,2024-10-04,lme_opening_mt,298525.0,mt,False,daily,ok,,20260112_100249,copper_daily_summary.csv,f9ab01005112fd96d4071e714f0d001f
COPPER,LME,D,2024-10-07,lme_cancelled_mt,30200.0,mt,False,daily,ok,,20260112_100249,copper_daily_summary.csv,f9ab01005112fd96d4071e714f0d001f
COPPER,LME,D,2024-10-07,lme_closing_mt,296275.0,mt,False,daily,ok,,20260112_100249,copper_daily_summary.csv,f9ab01005112fd96d4071e714f0d001f
COPPER,LME,D,2024-10-07,lme_delivered_in_mt,0.0,mt,False,daily,ok,,20260112_100249,copper_daily_summary.csv,f9ab01005112fd96d4071e714f0d001f
COPPER,LME,D,2024-10-07,lme_delivered_out_mt,1025.0,mt,False,daily,ok,,20260112_100249,copper_daily_summary.csv,f9ab01005112fd96d4071e714f0d001f
COPPER,LME,D,2024-10-07,lme_open_interest_mt,266075.0,mt,False,daily,ok,,20260112_100249,copper_daily_summary.csv,f9ab01005112fd96d4071e714f0d001f
COPPER,LME,D,2024-10-07,lme_opening_mt,297300.0,mt,False,daily,ok,,20260112_100249,copper_daily_summary.csv,f9ab01005112fd96d4071e714f0d001f
COPPER,LME,D,2024-10-08,lme_cancelled_mt,29175.0,mt,False,daily,ok,,20260112_100249,copper_daily_summary.csv,f9ab01005112fd96d4071e714f0d001f
