Opening_Stock,Delivered_In,Delivered_Out,Closing_Stock,Open_Tonnage,Cancelled_Tonnage,Date
300175.0,150.0,50.0,300275.0,266625.0,33650.0,20241001
300275.0,0.0,2175.0,298100.0,266625.0,31475.0,20241002
298100.0,600.0,175.0,298525.0,266550.0,31975.0,20241003
298525.0,25.0,1250.0,297300.0,266575.0,30725.0,20241004
297300.0,0.0,1025.0,296275.0,266075.0,30200.0,20241007
296275.0,0.0,1450.0,294825.0,265650.0,29175.0,20241008
294825.0,5475.0,950.0,299350.0,269325.0,30025.0,20241009
299350.0,0.0,1800.0,297550.0,269325.0,28225.0,20241010
297550.0,0.0,4700.0,292850.0,266475.0,26375.0,20241011
292850.0,800.0,5525.0,288125.0,267275.0,20850.0,20241014
288125.0,1675.0,1050.0,288750.0,264850.0,23900.0,20241015
288750.0,1000.0,2325.0,287425.0,263000.0,24425.0,20241016
287425.0,0.0,3225.0,284200.0,262875.0,21325.0,20241017
284200.0,0.0,2000.0,282200.0,262025.0,20175.0,20241018
282200.0,200.0,2300.0,280100.0,262225.0,17875.0,20241021
280100.0,350.0,825.0,279625.0,262575.0,17050.0,20241022
279625.0,0.0,1300.0,278325.0,262325.0,16000.0,20241023
278325.0,0.0,1550.0,276775.0,262400.0,14375.0,20241024
276775.0,0.0,675.0,276100.0,262400.0,13700.0,20241025
276100.0,0.0,1875.0,274225.0,261725.0,12500.0,20241028
274225.0,1125.0,50.0,275300.0,262850.0,12450.0,20241029
275300.0,0.0,3925.0,271375.0,262550.0,8825.0,20241030
271375.0,0.0,0.0,271375.0,260550.0,10825.0,20241031
271375.0,2725.0,250.0,273850.0,262225.0,11625.0,20241101
273850.0,0.0,875.0,272975.0,261925.0,11050.0,20241104
272975.0,800.0,1225.0,272550.0,261675.0,10875.0,20241105
272550.0,100.0,125.0,272525.0,261775.0,10750.0,20241106
272525.0,0.0,125.0,272400.0,261725.0,10675.0,20241107
272400.0,0.0,525.0,271875.0,261725.0,10150.0,20241108
271875.0,0.0,650.0,271225.0,261725.0,9500.0,20241111
271225.0,2250.0,375.0,273100.0,260800.0,12300.0,20241112
273100.0,0.0,900.0,272200.0,260800.0,11400.0,20241113
272200.0,0.0,325.0,271875.0,260450.0,11425.0,20241114
271875.0,500.0,850.0,271525.0,260950.0,10575.0,20241115
271525.0,475.0,25.0,271975.0,257975.0,14000.0,20241118
271975.0,0.0,125.0,271850.0,257275.0,14575.0,20241119
271850.0,1425.0,650.0,272625.0,258700.0,13925.0,20241120
272625.0,0.0,100.0,272525.0,258700.0,13825.0,20241121
272525.0,0.0,1550.0,270975.0,258600.0,12375.0,20241122
270975.0,0.0,1500.0,269475.0,258100.0,11375.0,20241125
269475.0,0.0,425.0,269050.0,255075.0,13975.0,20241126
269050.0,2575.0,1100.0,270525.0,257650.0,12875.0,20241127
270525.0,600.0,125.0,271000.0,258150.0,12850.0,20241128
271000.0,0.0,275.0,270725.0,258050.0,12675.0,20241129
270725.0,0.0,2100.0,268625.0,257550.0,11075.0,20241202
268625.0,0.0,125.0,268500.0,257450.0,11050.0,20241203
268500.0,3375.0,1350.0,270525.0,259450.0,11075.0,20241204
270525.0,0.0,725.0,269800.0,259000.0,10800.0,20241205
269800.0,200.0,200.0,269800.0,259575.0,10225.0,20241206
269800.0,0.0,1700.0,268100.0,259475.0,8625.0,20241209
268100.0,1000.0,600.0,268500.0,260475.0,8025.0,20241210
268500.0,725.0,800.0,268425.0,260100.0,8325.0,20241211
268425.0,5025.0,625.0,272825.0,256175.0,16650.0,20241212
272825.0,125.0,325.0,272625.0,255725.0,16900.0,20241213
272625.0,25.0,200.0,272450.0,256150.0,16300.0,20241216
272450.0,0.0,125.0,272325.0,256150.0,16175.0,20241217
272325.0,0.0,0.0,272325.0,256150.0,16175.0,20241218
272325.0,0.0,0.0,272325.0,256150.0,16175.0,20241219
272325.0,100.0,0.0,272425.0,256200.0,16225.0,20241220
272425.0,300.0,0.0,272725.0,256400.0,16325.0,20241223
272725.0,0.0,0.0,272725.0,252050.0,20675.0,20241224
272725.0,0.0,1325.0,271400.0,252050.0,19350.0,20241227
271400.0,0.0,0.0,271400.0,252050.0,19350.0,20241230
271400.0,0.0,50.0,271350.0,252050.0,19300.0,20241231
255125.0,1500.0,1675.0,254950.0,234200.0,20750.0,20250203
254950.0,0.0,2625.0,252325.0,223525.0,28800.0,20250204
252325.0,0.0,3050.0,249275.0,223275.0,26000.0,20250205
249275.0,1875.0,3525.0,247625.0,223850.0,23775.0,20250206
247625.0,0.0,1800.0,245825.0,217175.0,28650.0,20250207
