metal,source,freq,as_of_date,metric,value,unit,is_imputed,method,quality,quality_notes,load_run_id,raw_file,raw_checksum
COPPER,COMEX,D,2026-01-09,comex_eligible_mt,177176.80846096002,mt,False,daily,ok,,20260112_093019,COPPER_Stocks.xls,69e95bb60f5f503fd864c853173b3646
COPPER,COMEX,D,2026-01-09,comex_registered_mt,292743.9796743,mt,False,daily,ok,,20260112_093019,COPPER_Stocks.xls,69e95bb60f5f503fd864c853173b3646
COPPER,COMEX,D,2026-01-09,comex_total_mt,469920.78813526,mt,False,daily,ok,,20260112_093019,COPPER_Stocks.xls,69e95bb60f5f503fd864c853173b3646
GOLD,COMEX,D,2026-01-09,comex_eligible_oz,17131751.24,oz,False,daily,ok,,20260112_093019,GOLD_Stocks.xls,136c55c53184d217936ad1eaf601c3fd
GOLD,COMEX,D,2026-01-09,comex_pledged_oz,1857830.1509999998,oz,False,daily,ok,,20260112_093019,GOLD_Stocks.xls,136c55c53184d217936ad1eaf601c3fd
GOLD,COMEX,D,2026-01-09,comex_registered_oz,19180166.667999998,oz,False,daily,ok,,20260112_093019,GOLD_Stocks.xls,136c55c53184d217936ad1eaf601c3fd
GOLD,COMEX,D,2026-01-09,comex_total_oz,36311917.90799999,oz,False,daily,ok,,20260112_093019,GOLD_Stocks.xls,136c55c53184d217936ad1eaf601c3fd
SILVER,COMEX,D,2026-01-09,comex_eligible_oz,315842504.184,oz,False,daily,ok,,20260112_093019,SILVER_Stocks.xls,030282081b4f0fae7b4fb338200417db
SILVER,COMEX,D,2026-01-09,comex_registered_oz,123897998.99199998,oz,False,daily,ok,,20260112_093019,SILVER_Stocks.xls,030282081b4f0fae7b4fb338200417db
SILVER,COMEX,D,2026-01-09,comex_total_oz,439740503.176,oz,False,daily,ok,,20260112_093019,SILVER_Stocks.xls,030282081b4f0fae7b4fb338200417db
