metal,source,freq,as_of_date,metric,value,unit,is_imputed,method,quality,quality_notes,load_run_id,raw_file,raw_checksum
COPPER,COMEX,D,2021-01-04,comex_eligible_mt,172834.67308,mt,False,simulated,ok,Simulated data for testing,SIM_20260108_144524,COPPER_Stocks_SIMULATED.xls,simulated_data_no_checksum
COPPER,COMEX,D,2021-01-04,comex_registered_mt,287955.949338,mt,False,simulated,ok,Simulated data for testing,SIM_20260108_144524,COPPER_Stocks_SIMULATED.xls,simulated_data_no_checksum
COPPER,COMEX,D,2021-01-04,comex_total_mt,460790.622418,mt,False,simulated,ok,Simulated data for testing,SIM_20260108_144524,COPPER_Stocks_SIMULATED.xls,simulated_data_no_checksum
GOLD,COMEX,D,2021-01-04,comex_eligible_oz,16764883.065298,oz,False,simulated,ok,Simulated data for testing,SIM_20260108_144524,GOLD_Stocks_SIMULATED.xls,simulated_data_no_checksum
GOLD,COMEX,D,2021-01-04,comex_pledged_oz,1793203.97242,oz,False,simulated,ok,Simulated data for testing,SIM_20260108_144524,GOLD_Stocks_SIMULATED.xls,simulated_data_no_checksum
GOLD,COMEX,D,2021-01-04,comex_registered_oz,19091076.643963,oz,False,simulated,ok,Simulated data for testing,SIM_20260108_144524,GOLD_Stocks_SIMULATED.xls,simulated_data_no_checksum
GOLD,COMEX,D,2021-01-04,comex_total_oz,35855959.709261,oz,False,simulated,ok,Simulated data for testing,SIM_20260108_144524,GOLD_Stocks_SIMULATED.xls,simulated_data_no_checksum
SILVER,COMEX,D,2021-01-04,comex_eligible_oz,319464612.588901,oz,False,simulated,ok,Simulated data for testing,SIM_20260108_144524,SILVER_Stocks_SIMULATED.xls,simulated_data_no_checksum
SILVER,COMEX,D,2021-01-04,comex_registered_oz,126414439.778775,oz,False,simulated,ok,Simulated data for testing,SIM_20260108_144524,SILVER_Stocks_SIMULATED.xls,simulated_data_no_checksum
SILVER,COMEX,D,2021-01-04,comex_total_oz,445879052.367676,oz,False,simulated,ok,Simulated data for testing,SIM_20260108_144524,SILVER_Stocks_SIMULATED.xls,simulated_data_no_checksum
COPPER,COMEX,D,2021-01-05,comex_eligible_mt,174772.528219,mt,False,simulated,ok,Simulated data for testing,SIM_20260108_144524,COPPER_Stocks_SIMULATED.xls,simulated_data_no_checksum
COPPER,COMEX,D,2021-01-05,comex_registered_mt,279453.840334,mt,False,simulated,ok,Simulated data for testing,SIM_20260108_144524,COPPER_Stocks_SIMULATED.xls,simulated_data_no_checksum
COPPER,COMEX,D,2021-01-05,comex_total_mt,454226.368553,mt,False,simulated,ok,Simulated data for testing,SIM_20260108_144524,COPPER_Stocks_SIMULATED.xls,simulated_data_no_checksum
GOLD,COMEX,D,2021-01-05,comex_eligible_oz,16830786.554007,oz,False,simulated,ok,Simulated data for testing,SIM_20260108_144524,GOLD_Stocks_SIMULATED.xls,simulated_data_no_checksum
GOLD,COMEX,D,2021-01-05,comex_pledged_oz,1792077.632661,oz,False,simulated,ok,Simulated data for testing,SIM_20260108_144524,GOLD_Stocks_SIMULATED.xls,simulated_data_no_checksum
GOLD,COMEX,D,2021-01-05,comex_registered_oz,19069131.57996,oz,False,simulated,ok,Simulated data for testing,SIM_20260108_144524,GOLD_Stocks_SIMULATED.xls,simulated_data_no_checksum
GOLD,COMEX,D,2021-01-05,comex_total_oz,35899918.133967,oz,False,simulated,ok,Simulated data for testing,SIM_20260108_144524,GOLD_Stocks_SIMULATED.xls,simulated_data_no_checksum
SILVER,COMEX,D,2021-01-05,comex_eligible_oz,319677392.710397,oz,False,simulated,ok,Simulated data for testing,SIM_20260108_144524,SILVER_Stocks_SIMULATED.xls,simulated_data_no_checksum
SILVER,COMEX,D,2021-01-05,comex_registered_oz,126249096.573501,oz,False,simulated,ok,Simulated data for testing,SIM_20260108_144524,SILVER_Stocks_SIMULATED.xls,simulated_data_no_checksum
SILVER,COMEX,D,2021-01-05,comex_total_oz,445926489.283898,oz,False,simulated,ok,Simulated data for testing,SIM_20260108_144524,SILVER_Stocks_SIMULATED.xls,simulated_data_no_checksum
COPPER,COMEX,D,2021-01-06,comex_eligible_mt,174287.105695,mt,False,simulated,ok,Simulated data for testing,SIM_20260108_144524,COPPER_Stocks_SIMULATED.xls,simulated_data_no_checksum
COPPER,COMEX,D,2021-01-06,comex_registered_mt,274785.708607,mt,False,simulated,ok,Simulated data for testing,SIM_20260108_144524,COPPER_Stocks_SIMULATED.xls,simulated_data_no_checksum
COPPER,COMEX,D,2021-01-06,comex_total_mt,449072.814302,mt,False,simulated,ok,Simulated data for testing,SIM_20260108_144524,COPPER_Stocks_SIMULATED.xls,simulated_data_no_checksum
GOLD,COMEX,D,2021-01-06,comex_eligible_oz,16691380.823821,oz,False,simulated,ok,Simulated data for testing,SIM_20260108_144524,GOLD_Stocks_SIMULATED.xls,simulated_data_no_checksum
GOLD,COMEX,D,2021-01-06,comex_pledged_oz,1851189.189014,oz,False,simulated,ok,Simulated data for testing,SIM_20260108_144524,GOLD_Stocks_SIMULATED.xls,simulated_data_no_checksum
GOLD,COMEX,D,2021-01-06,comex_registered_oz,19187630.597104,oz,False,simulated,ok,Simulated data for testing,SIM_20260108_144524,GOLD_Stocks_SIMULATED.xls,simulated_data_no_checksum
GOLD,COMEX,D,2021-01-06,comex_total_oz,35879011.420925,oz,False,simulated,ok,Simulated data for testing,SIM_20260108_144524,GOLD_Stocks_SIMULATED.xls,simulated_data_no_checksum
SILVER,COMEX,D,2021-01-06,comex_eligible_oz,319486943.730889,oz,False,simulated,ok,Simulated data for testing,SIM_20260108_144524,SILVER_Stocks_SIMULATED.xls,simulated_data_no_checksum
SILVER,COMEX,D,2021-01-06,comex_registered_oz,125883725.836729,oz,False,simulated,ok,Simulated data for testing,SIM_20260108_144524,SILVER_Stocks_SIMULATED.xls,simulated_data_no_checksum
