metal,source,freq,as_of_date,metric,value,unit,is_imputed,method,quality,quality_notes,load_run_id,raw_file,raw_checksum
GOLD,LBMA,M,2016-07-01,lbma_holdings,234144000.0,oz,False,month_end,ok,,20251230_111903,lbma_vault_holdings.csv,4d8bf267071d1da42451bf77aeceaaac
SILVER,LBMA,M,2016-07-01,lbma_holdings,951433000.0,oz,False,month_end,ok,,20251230_111903,lbma_vault_holdings.csv,4d8bf267071d1da42451bf77aeceaaac
GOLD,LBMA,M,2016-08-01,lbma_holdings,239742000.0,oz,False,month_end,ok,,20251230_111903,lbma_vault_holdings.csv,4d8bf267071d1da42451bf77aeceaaac
SILVER,LBMA,M,2016-08-01,lbma_holdings,957798000.0,oz,False,month_end,ok,,20251230_111903,lbma_vault_holdings.csv,4d8bf267071d1da42451bf77aeceaaac
GOLD,LBMA,M,2016-09-01,lbma_holdings,244025000.0,oz,False,month_end,ok,,20251230_111903,lbma_vault_holdings.csv,4d8bf267071d1da42451bf77aeceaaac
SILVER,LBMA,M,2016-09-01,lbma_holdings,969175000.0,oz,False,month_end,ok,,20251230_111903,lbma_vault_holdings.csv,4d8bf267071d1da42451bf77aeceaaac
GOLD,LBMA,M,2016-10-01,lbma_holdings,246141000.0,oz,False,month_end,ok,,20251230_111903,lbma_vault_holdings.csv,4d8bf267071d1da42451bf77aeceaaac
SILVER,LBMA,M,2016-10-01,lbma_holdings,978229000.0,oz,False,month_end,ok,,20251230_111903,lbma_vault_holdings.csv,4d8bf267071d1da42451bf77aeceaaac
GOLD,LBMA,M,2016-11-01,lbma_holdings,246055000.0,oz,False,month_end,ok,,20251230_111903,lbma_vault_holdings.csv,4d8bf267071d1da42451bf77aeceaaac
SILVER,LBMA,M,2016-11-01,lbma_holdings,993303000.0,oz,False,month_end,ok,,20251230_111903,lbma_vault_holdings.csv,4d8bf267071d1da42451bf77aeceaaac
GOLD,LBMA,M,2016-12-01,lbma_holdings,241881000.0,oz,False,month_end,ok,,20251230_111903,lbma_vault_holdings.csv,4d8bf267071d1da42451bf77aeceaaac
SILVER,LBMA,M,2016-12-01,lbma_holdings,1004313000.0,oz,False,month_end,ok,,20251230_111903,lbma_vault_holdings.csv,4d8bf267071d1da42451bf77aeceaaac
GOLD,LBMA,M,2017-01-01,lbma_holdings,238887000.0,oz,False,month_end,ok,,20251230_111903,lbma_vault_holdings.csv,4d8bf267071d1da42451bf77aeceaaac
SILVER,LBMA,M,2017-01-01,lbma_holdings,1010942000.0,oz,False,month_end,ok,,20251230_111903,lbma_vault_holdings.csv,4d8bf267071d1da42451bf77aeceaaac
GOLD,LBMA,M,2017-02-01,lbma_holdings,238776000.0,oz,False,month_end,ok,,20251230_111903,lbma_vault_holdings.csv,4d8bf267071d1da42451bf77aeceaaac
SILVER,LBMA,M,2017-02-01,lbma_holdings,1010268000.0,oz,False,month_end,ok,,20251230_111903,lbma_vault_holdings.csv,4d8bf267071d1da42451bf77aeceaaac
