Date,Opening_Stock,Delivered_In,Delivered_Out,Closing_Stock,Open_Tonnage,Cancelled_Tonnage
20251219,160400,2050,4700,157750,106000,51750
20251218,164275,1325,5200,160400,103950,56450
20251217,166925,250,2900,164275,102725,61550
20251216,166600,750,425,166925,102475,64450
20251215,165875,1525,800,166600,102200,64400
20251212,165900,625,650,165875,100475,65400
20251211,165850,700,650,165900,99900,66000
20251210,164975,1125,250,165850,99200,66650
20251209,165675,0,700,164975,99575,65400
20251208,164550,1200,75,165675,102575,63100
20251205,162550,2675,675,164550,101375,63175
20251204,162825,200,475,162550,98700,63850
20251203,162150,1000,325,162825,98500,64325
20251202,161800,500,150,162150,105275,56875
20251201,159425,2550,175,161800,155500,6300
20250530,149875,0,1425,148450,72525,75925
20250529,152375,200,2700,149875,75025,74850
20250528,154300,100,2025,152375,77925,74450
20250527,162150,300,8150,154300,83125,71175
20250523,164725,0,2575,162150,85800,76350
20250522,166525,0,1800,164725,92650,72075
20250521,168825,0,2300,166525,97875,68650
20250520,170750,300,2225,168825,102825,66000
20250519,174325,0,3575,170750,104300,66450
20250516,179375,100,5150,174325,106775,67550
20250515,184650,0,5275,179375,107475,71900
20250514,185575,0,925,184650,107925,76725
20250513,189650,0,4075,185575,107925,77650
20250512,190750,0,1100,189650,108375,81275
20250509,191775,0,1025,190750,108550,82200
20250508,194275,0,2500,191775,109150,82625
20250507,193975,2500,2200,194275,110250,84025
20250506,195625,0,1650,193975,107850,86125
20250502,197300,0,1675,195625,108675,86950
20250501,197700,0,400,197300,108725,88575
20250331,211375,4950,3050,213275,111850,101425
20250328,212925,500,2050,211375,106900,104475
20250327,215275,700,3050,212925,106400,106525
20250326,216750,700,2175,215275,111700,103575
20250325,219950,0,3200,216750,111000,105750
20250324,221775,1500,3325,219950,111900,108050
20250321,224600,850,3675,221775,110500,111275
20250320,223275,3850,2525,224600,117775,106825
20250319,225175,0,1900,223275,122125,101150
20250318,227700,0,2525,225175,122225,102950
20250317,230975,3000,6275,227700,122975,104725
20250314,233750,150,2925,230975,123150,107825
20250313,237200,150,3600,233750,123200,110550
20250312,240325,600,3725,237200,123050,114150
20250311,244175,0,3850,240325,134825,105500
20250310,253325,100,9250,244175,136300,107875
20250307,257325,0,4000,253325,147875,105450
20250306,259175,1625,3475,257325,148600,108725
20250305,260150,2700,3675,259175,149675,109500
20250304,261000,400,1250,260150,148300,111850
20250303,261050,0,50,261000,158175,102825
20250131,256225,625,1725,255125,232925,22200
20250130,256275,0,50,256225,232300,23925
20250129,256300,0,25,256275,232300,23975
20250128,256500,50,250,256300,232300,24000
20250127,255825,1100,425,256500,232275,24225
20250124,257625,0,1800,255825,231175,24650
20250123,259050,0,1425,257625,231175,26450
20250122,260400,100,1450,259050,232550,26500
20250121,260525,0,125,260400,233200,27200
20250120,260150,500,125,260525,241625,18900
20250117,260075,100,25,260150,241950,18200
20250116,260250,0,175,260075,241850,18225
20250115,260750,0,500,260250,242050,18200
20250114,261900,500,1650,260750,253675,7075
20250113,263450,0,1550,261900,253275,8625
20250110,264425,800,1775,263450,253525,9925
20250109,263950,2175,1700,264425,253225,11200
20250108,265700,0,1750,263950,251550,12400
20250107,267150,0,1450,265700,251550,14150
20250106,268650,0,1500,267150,251550,15600
20250103,269800,0,1150,268650,251750,16900
20250102,271350,0,1550,269800,252050,17750
20240930,300600,0,425,300175,268750,31425
20240927,302525,0,1925,300600,271500,29100
20240926,303050,500,1025,302525,275000,27525
20240925,303350,0,300,303050,275100,27950
20240924,301850,1700,200,303350,280400,22950
20240923,301700,700,550,301850,279650,22200
20240920,303350,0,1650,301700,279300,22400
20240919,304925,0,1575,303350,283800,19550
20240918,305250,0,325,304925,283800,21125
20240917,306500,0,1250,305250,285200,20050
20240916,308550,200,2250,306500,285200,21300
20240913,311525,1625,4600,308550,285075,23475
20240912,311650,1925,2050,311525,287900,23625
20240911,314950,625,3925,311650,287900,23750
20240910,316175,500,1725,314950,287275,27675
20240909,316450,1200,1475,316175,279575,36600
20240906,317575,500,1625,316450,279625,36825
20240905,317175,1500,1100,317575,290150,27425
20240904,318650,1000,2475,317175,288650,28525
20240903,317800,1000,150,318650,296800,21850
20240902,320650,500,3350,317800,295800,22000
20240830,320925,1000,1275,320650,295300,25350
20240829,322950,150,2175,320925,295825,25100
20240828,314250,11325,2625,322950,295825,27125
20240827,317175,1200,4125,314250,284500,29750
20240823,315575,2450,850,317175,283300,33875
20240822,319700,0,4125,315575,286150,29425
20240821,319625,2150,2075,319700,286150,33550
20240820,320050,0,425,319625,283175,36450
20240819,308075,13475,1500,320050,286650,33400
20240816,309050,225,1200,308075,280950,27125
20240815,307450,2500,900,309050,280725,28325
20240814,307425,125,100,307450,278275,29175
20240813,305625,2400,600,307425,279450,27975
20240812,296125,10500,1000,305625,278300,27325
20240809,296400,0,275,296125,268575,27550
20240808,294425,2350,375,296400,275950,20450
20240807,294750,0,325,294425,279225,15200
20240806,252575,42725,550,294750,279525,15225
20240805,251350,3200,1975,252575,236800,15775
20240802,246500,6325,1475,251350,233750,17600
20240801,245150,1500,150,246500,230425,16075
20240731,239275,7200,1325,245150,229025,16125
20240730,239400,1500,1625,239275,221975,17300
20240729,239100,1800,1500,239400,220925,18475
20240726,237750,3000,1650,239100,219125,19975
20240725,239425,0,1675,237750,216225,21525
20240724,241750,0,2325,239425,216225,23200
20240723,236700,5100,50,241750,217375,24375
20240722,234400,2350,50,236700,211425,25275
20240719,231425,3100,125,234400,212975,21425
20240718,227425,5050,1050,231425,216850,14575
20240716,216475,6200,1575,221100,205600,15500
20240715,210325,7925,1775,216475,203225,13250
20240712,206225,5600,1500,210325,195525,14800
20240711,206775,975,1525,206225,190500,15725
20240710,195475,12825,1525,206775,195425,11350
20240709,191025,5950,1500,195475,182825,12650
20240708,191475,1300,1750,191025,177175,13850
20240705,191625,1400,1550,191475,175875,15600
20240704,186275,6600,1250,191625,175975,15650
20240703,186450,0,175,186275,169375,16900
20240702,184475,2000,25,186450,169375,17075
20240701,180050,4500,75,184475,167425,17050
20240628,180125,0,75,180050,163025,17025
20240627,177750,2500,125,180125,171025,9100
20240626,175475,2300,25,177750,168525,9225
20240625,172850,2700,75,175475,167075,8400
20240624,167825,5100,75,172850,169850,3000
20240621,165175,2950,300,167825,164850,2975
20240620,161925,3300,50,165175,162800,2375
20240619,158700,3450,225,161925,159575,2350
20240618,155850,3225,375,158700,156125,2575
20240617,136675,19375,200,155850,152900,2950
20240614,133925,4050,1300,136675,133525,3150
20240613,132075,2175,325,133925,129275,4650
20240612,127425,4975,325,132075,127100,4975
20240611,127325,400,300,127425,122475,4950
20240610,125325,2200,200,127325,122200,5125
20240607,123800,1900,375,125325,120000,5325
20240606,122200,1950,350,123800,118150,5650
20240605,120000,2825,625,122200,117200,5000
20240604,118950,1450,400,120000,114375,5625
20240603,116000,3750,800,118950,113425,5525
20240531,116475,800,1275,116000,109975,6025
20240530,118125,0,1650,116475,109175,7300
20240529,117300,2000,1175,118125,108875,9250
20240528,114750,5250,2700,117300,106975,10325
20240524,112675,2700,625,114750,101825,12925
20240523,110025,3500,850,112675,99125,13550
20240522,110250,0,225,110025,96625,13400
20240521,108200,2500,450,110250,96625,13625
20240520,105900,2500,200,108200,94125,14075
20240517,103650,3000,750,105900,93600,12300
20240516,104425,500,1275,103650,92150,11500
20240515,104625,1200,1400,104425,92975,11450
20240514,104750,500,625,104625,91775,12850
20240513,103100,2050,400,104750,91625,13125
20240510,103450,400,750,103100,89575,13525
20240509,104375,0,925,103450,89475,13975
20240508,106000,175,1800,104375,89900,14475
20240507,107350,275,1625,106000,90125,15875
20240503,111300,175,4125,107350,90150,17200
20240502,115275,375,4350,111300,93425,17875
20240501,117375,0,2100,115275,93125,22150
20240430,116125,2750,1500,117375,94700,22675
20240429,117500,0,1375,116125,92500,23625
20240426,118550,1575,2625,117500,92500,25000
20240425,120400,700,2550,118550,90925,27625
20240424,120225,1075,900,120400,91950,28450
20240423,120600,1000,1375,120225,91600,28625
20240422,121200,0,600,120600,90600,30000
20240419,122125,0,925,121200,90600,30600
20240418,122925,300,1100,122125,90700,31425
20240417,123775,50,900,122925,90400,32525
20240416,123875,500,600,123775,105600,18175
20240415,123475,500,100,123875,105100,18775
20240412,124425,0,950,123475,104950,18525
20240411,124850,0,425,124425,106100,18325
20240410,123475,2100,725,124850,112625,12225
20240409,124225,700,1450,123475,112525,10950
20240408,114275,10900,950,124225,111825,12400
20240405,115525,0,1250,114275,100950,13325
20240404,112525,3725,725,115525,101300,14225
20240403,112975,350,800,112525,99000,13525
20240402,111925,1700,650,112975,98775,14200
20240328,112475,0,550,111925,97775,14150
20240327,113100,50,675,112475,97775,14700
20240326,117400,0,4300,113100,97725,15375
20240325,117900,0,500,117400,97725,19675
20240322,113850,5225,1175,117900,99250,18650
20240321,111325,3000,475,113850,94125,19725
20240320,112325,0,1000,111325,91125,20200
20240319,106700,6050,425,112325,91125,21200
20240318,106825,150,275,106700,85375,21325
20240315,107300,0,475,106825,86650,20175
20240314,108050,200,950,107300,93500,13800
20240313,108925,0,875,108050,93300,14750
