Country_Region,Location,Opening_Stock,Delivered_In,Delivered_Out,Closing_Stock,Open_Tonnage,Cancelled_Tonnage,Date,Location_Key
Belgium,Antwerp,50,0,0,50,50,0,20200601,Belgium_Antwerp
Malaysia,Port Klang,2975,0,0,2975,2675,300,20200601,Malaysia_Port Klang
Malaysia,Johor,400,0,0,400,25,375,20200601,Malaysia_Johor
Korea (South),Incheon,50,0,0,50,50,0,20200601,Korea (South)_Incheon
Korea (South),Gwangyang,0,0,0,0,0,0,20200601,Korea (South)_Gwangyang
Korea (South),Busan,57250,0,0,57250,19300,37950,20200601,Korea (South)_Busan
Italy,Trieste,9075,0,0,9075,9075,0,20200601,Italy_Trieste
Italy,Leghorn,0,0,0,0,0,0,20200601,Italy_Leghorn
Germany,Hamburg,2250,0,0,2250,2250,0,20200601,Germany_Hamburg
USA,New Orleans,43275,600,550,43325,43125,200,20200601,USA_New Orleans
USA,Mobile,25,0,0,25,25,0,20200601,USA_Mobile
USA,Chicago,150,0,0,150,25,125,20200601,USA_Chicago
USA,Baltimore,0,0,0,0,0,0,20200601,USA_Baltimore
UK,Liverpool,800,0,0,800,800,0,20200601,UK_Liverpool
UK,Hull,275,0,0,275,275,0,20200601,UK_Hull
UAE,Dubai,0,0,0,0,0,0,20200601,UAE_Dubai
Taiwan,Kaohsiung,31275,0,1500,29775,11825,17950,20200601,Taiwan_Kaohsiung
Sweden,Helsingborg,0,0,0,0,0,0,20200601,Sweden_Helsingborg
Spain,Bilbao,13475,0,0,13475,13475,0,20200601,Spain_Bilbao
Spain,Barcelona,1525,0,0,1525,1525,0,20200601,Spain_Barcelona
Singapore,Singapore,1750,0,0,1750,1500,250,20200601,Singapore_Singapore
Netherlands,Vlissingen,750,0,0,750,750,0,20200601,Netherlands_Vlissingen
Netherlands,Moerdijk,5800,0,0,5800,4550,1250,20200601,Netherlands_Moerdijk
Netherlands,Rotterdam,84575,0,0,84575,73975,10600,20200601,Netherlands_Rotterdam
USA,New Orleans,43325,0,200,43125,43125,0,20200602,USA_New Orleans
Italy,Trieste,9075,0,0,9075,9075,0,20200602,Italy_Trieste
Korea (South),Incheon,50,0,0,50,50,0,20200602,Korea (South)_Incheon
Malaysia,Johor,400,0,0,400,25,375,20200602,Malaysia_Johor
Malaysia,Port Klang,2975,0,300,2675,2400,275,20200602,Malaysia_Port Klang
Netherlands,Moerdijk,5800,0,0,5800,4550,1250,20200602,Netherlands_Moerdijk
Netherlands,Rotterdam,84575,0,0,84575,73975,10600,20200602,Netherlands_Rotterdam
Korea (South),Gwangyang,0,0,0,0,0,0,20200602,Korea (South)_Gwangyang
Korea (South),Busan,57250,400,300,57350,19700,37650,20200602,Korea (South)_Busan
Italy,Leghorn,0,0,0,0,0,0,20200602,Italy_Leghorn
Germany,Hamburg,2250,0,0,2250,2250,0,20200602,Germany_Hamburg
USA,Mobile,25,0,0,25,25,0,20200602,USA_Mobile
Belgium,Antwerp,50,0,0,50,50,0,20200602,Belgium_Antwerp
Singapore,Singapore,1750,0,0,1750,1400,350,20200602,Singapore_Singapore
Spain,Barcelona,1525,0,0,1525,1525,0,20200602,Spain_Barcelona
Spain,Bilbao,13475,0,0,13475,13475,0,20200602,Spain_Bilbao
Sweden,Helsingborg,0,0,0,0,0,0,20200602,Sweden_Helsingborg
Taiwan,Kaohsiung,29775,0,1500,28275,11825,16450,20200602,Taiwan_Kaohsiung
