Date,Belgium_Antwerp_Opening_Stock,Germany_Hamburg_Opening_Stock,Hong Kong SAR_Hong Kong SAR_Opening_Stock,Italy_Leghorn_Opening_Stock,Italy_Trieste_Opening_Stock,Korea (South)_Busan_Opening_Stock,Korea (South)_Gwangyang_Opening_Stock,Korea (South)_Incheon_Opening_Stock,Malaysia_Johor_Opening_Stock,Malaysia_Port Klang_Opening_Stock,Netherlands_Moerdijk_Opening_Stock,Netherlands_Rotterdam_Opening_Stock,Netherlands_Vlissingen_Opening_Stock,Saudi Arabia_Jeddah_Opening_Stock,Singapore_Singapore_Opening_Stock,Spain_Barcelona_Opening_Stock,Spain_Bilbao_Opening_Stock,Sweden_Helsingborg_Opening_Stock,Taiwan_Kaohsiung_Opening_Stock,UAE_Dubai_Opening_Stock,UK_Hull_Opening_Stock,UK_Liverpool_Opening_Stock,USA_Baltimore_Opening_Stock,USA_Chicago_Opening_Stock,USA_Mobile_Opening_Stock,USA_New Orleans_Opening_Stock,Belgium_Antwerp_Delivered_In,Germany_Hamburg_Delivered_In,Hong Kong SAR_Hong Kong SAR_Delivered_In,Italy_Leghorn_Delivered_In,Italy_Trieste_Delivered_In,Korea (South)_Busan_Delivered_In,Korea (South)_Gwangyang_Delivered_In,Korea (South)_Incheon_Delivered_In,Malaysia_Johor_Delivered_In,Malaysia_Port Klang_Delivered_In,Netherlands_Moerdijk_Delivered_In,Netherlands_Rotterdam_Delivered_In,Netherlands_Vlissingen_Delivered_In,Saudi Arabia_Jeddah_Delivered_In,Singapore_Singapore_Delivered_In,Spain_Barcelona_Delivered_In,Spain_Bilbao_Delivered_In,Sweden_Helsingborg_Delivered_In,Taiwan_Kaohsiung_Delivered_In,UAE_Dubai_Delivered_In,UK_Hull_Delivered_In,UK_Liverpool_Delivered_In,USA_Baltimore_Delivered_In,USA_Chicago_Delivered_In,USA_Mobile_Delivered_In,USA_New Orleans_Delivered_In,Belgium_Antwerp_Delivered_Out,Germany_Hamburg_Delivered_Out,Hong Kong SAR_Hong Kong SAR_Delivered_Out,Italy_Leghorn_Delivered_Out,Italy_Trieste_Delivered_Out,Korea (South)_Busan_Delivered_Out,Korea (South)_Gwangyang_Delivered_Out,Korea (South)_Incheon_Delivered_Out,Malaysia_Johor_Delivered_Out,Malaysia_Port Klang_Delivered_Out,Netherlands_Moerdijk_Delivered_Out,Netherlands_Rotterdam_Delivered_Out,Netherlands_Vlissingen_Delivered_Out,Saudi Arabia_Jeddah_Delivered_Out,Singapore_Singapore_Delivered_Out,Spain_Barcelona_Delivered_Out,Spain_Bilbao_Delivered_Out,Sweden_Helsingborg_Delivered_Out,Taiwan_Kaohsiung_Delivered_Out,UAE_Dubai_Delivered_Out,UK_Hull_Delivered_Out,UK_Liverpool_Delivered_Out,USA_Baltimore_Delivered_Out,USA_Chicago_Delivered_Out,USA_Mobile_Delivered_Out,USA_New Orleans_Delivered_Out,Belgium_Antwerp_Closing_Stock,Germany_Hamburg_Closing_Stock,Hong Kong SAR_Hong Kong SAR_Closing_Stock,Italy_Leghorn_Closing_Stock,Italy_Trieste_Closing_Stock,Korea (South)_Busan_Closing_Stock,Korea (South)_Gwangyang_Closing_Stock,Korea (South)_Incheon_Closing_Stock,Malaysia_Johor_Closing_Stock,Malaysia_Port Klang_Closing_Stock,Netherlands_Moerdijk_Closing_Stock,Netherlands_Rotterdam_Closing_Stock,Netherlands_Vlissingen_Closing_Stock,Saudi Arabia_Jeddah_Closing_Stock,Singapore_Singapore_Closing_Stock,Spain_Barcelona_Closing_Stock,Spain_Bilbao_Closing_Stock,Sweden_Helsingborg_Closing_Stock,Taiwan_Kaohsiung_Closing_Stock,UAE_Dubai_Closing_Stock,UK_Hull_Closing_Stock,UK_Liverpool_Closing_Stock,USA_Baltimore_Closing_Stock,USA_Chicago_Closing_Stock,USA_Mobile_Closing_Stock,USA_New Orleans_Closing_Stock,Belgium_Antwerp_Open_Tonnage,Germany_Hamburg_Open_Tonnage,Hong Kong SAR_Hong Kong SAR_Open_Tonnage,Italy_Leghorn_Open_Tonnage,Italy_Trieste_Open_Tonnage,Korea (South)_Busan_Open_Tonnage,Korea (South)_Gwangyang_Open_Tonnage,Korea (South)_Incheon_Open_Tonnage,Malaysia_Johor_Open_Tonnage,Malaysia_Port Klang_Open_Tonnage,Netherlands_Moerdijk_Open_Tonnage,Netherlands_Rotterdam_Open_Tonnage,Netherlands_Vlissingen_Open_Tonnage,Saudi Arabia_Jeddah_Open_Tonnage,Singapore_Singapore_Open_Tonnage,Spain_Barcelona_Open_Tonnage,Spain_Bilbao_Open_Tonnage,Sweden_Helsingborg_Open_Tonnage,Taiwan_Kaohsiung_Open_Tonnage,UAE_Dubai_Open_Tonnage,UK_Hull_Open_Tonnage,UK_Liverpool_Open_Tonnage,USA_Baltimore_Open_Tonnage,USA_Chicago_Open_Tonnage,USA_Mobile_Open_Tonnage,USA_New Orleans_Open_Tonnage,Belgium_Antwerp_Cancelled_Tonnage,Germany_Hamburg_Cancelled_Tonnage,Hong Kong SAR_Hong Kong SAR_Cancelled_Tonnage,Italy_Leghorn_Cancelled_Tonnage,Italy_Trieste_Cancelled_Tonnage,Korea (South)_Busan_Cancelled_Tonnage,Korea (South)_Gwangyang_Cancelled_Tonnage,Korea (South)_Incheon_Cancelled_Tonnage,Malaysia_Johor_Cancelled_Tonnage,Malaysia_Port Klang_Cancelled_Tonnage,Netherlands_Moerdijk_Cancelled_Tonnage,Netherlands_Rotterdam_Cancelled_Tonnage,Netherlands_Vlissingen_Cancelled_Tonnage,Saudi Arabia_Jeddah_Cancelled_Tonnage,Singapore_Singapore_Cancelled_Tonnage,Spain_Barcelona_Cancelled_Tonnage,Spain_Bilbao_Cancelled_Tonnage,Sweden_Helsingborg_Cancelled_Tonnage,Taiwan_Kaohsiung_Cancelled_Tonnage,UAE_Dubai_Cancelled_Tonnage,UK_Hull_Cancelled_Tonnage,UK_Liverpool_Cancelled_Tonnage,USA_Baltimore_Cancelled_Tonnage,USA_Chicago_Cancelled_Tonnage,USA_Mobile_Cancelled_Tonnage,USA_New Orleans_Cancelled_Tonnage
20200601,50.0,2250.0,,0.0,9075.0,57250.0,0.0,50.0,400.0,2975.0,5800.0,84575.0,750.0,,1750.0,1525.0,13475.0,0.0,31275.0,0.0,275.0,800.0,0.0,150.0,25.0,43275.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,600.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,550.0,50.0,2250.0,,0.0,9075.0,57250.0,0.0,50.0,400.0,2975.0,5800.0,84575.0,750.0,,1750.0,1525.0,13475.0,0.0,29775.0,0.0,275.0,800.0,0.0,150.0,25.0,43325.0,50.0,2250.0,,0.0,9075.0,19300.0,0.0,50.0,25.0,2675.0,4550.0,73975.0,750.0,,1500.0,1525.0,13475.0,0.0,11825.0,0.0,275.0,800.0,0.0,25.0,25.0,43125.0,0.0,0.0,,0.0,0.0,37950.0,0.0,0.0,375.0,300.0,1250.0,10600.0,0.0,,250.0,0.0,0.0,0.0,17950.0,0.0,0.0,0.0,0.0,125.0,0.0,200.0
20200602,50.0,2250.0,,0.0,9075.0,57250.0,0.0,50.0,400.0,2975.0,5800.0,84575.0,750.0,,1750.0,1525.0,13475.0,0.0,29775.0,0.0,275.0,800.0,0.0,150.0,25.0,43325.0,0.0,0.0,,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,300.0,0.0,0.0,0.0,300.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,50.0,2250.0,,0.0,9075.0,57350.0,0.0,50.0,400.0,2675.0,5800.0,84575.0,750.0,,1750.0,1525.0,13475.0,0.0,28275.0,0.0,275.0,800.0,0.0,150.0,25.0,43125.0,50.0,2250.0,,0.0,9075.0,19700.0,0.0,50.0,25.0,2400.0,4550.0,73975.0,750.0,,1400.0,1525.0,13475.0,0.0,11825.0,0.0,275.0,800.0,0.0,25.0,25.0,43125.0,0.0,0.0,,0.0,0.0,37650.0,0.0,0.0,375.0,275.0,1250.0,10600.0,0.0,,350.0,0.0,0.0,0.0,16450.0,0.0,0.0,0.0,0.0,125.0,0.0,0.0
20200603,50.0,2250.0,,0.0,9075.0,57350.0,0.0,50.0,400.0,2675.0,5800.0,84575.0,750.0,,1750.0,1525.0,13475.0,0.0,28275.0,0.0,275.0,800.0,0.0,150.0,25.0,43125.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,2975.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1275.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,2250.0,,0.0,9075.0,54375.0,0.0,50.0,400.0,2675.0,5800.0,84575.0,750.0,,1750.0,1675.0,13475.0,0.0,27000.0,0.0,275.0,800.0,0.0,150.0,25.0,43125.0,50.0,2250.0,,0.0,9075.0,19700.0,0.0,50.0,25.0,2400.0,4550.0,73975.0,750.0,,1400.0,1675.0,13475.0,0.0,11825.0,0.0,275.0,800.0,0.0,25.0,25.0,22850.0,0.0,0.0,,0.0,0.0,34675.0,0.0,0.0,375.0,275.0,1250.0,10600.0,0.0,,350.0,0.0,0.0,0.0,15175.0,0.0,0.0,0.0,0.0,125.0,0.0,20275.0
20200604,50.0,2250.0,,0.0,9075.0,54375.0,0.0,50.0,400.0,2675.0,5800.0,84575.0,750.0,,1750.0,1675.0,13475.0,0.0,27000.0,0.0,275.0,800.0,0.0,150.0,25.0,43125.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,0.0,,0.0,0.0,3425.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,100.0,0.0,0.0,0.0,1900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,2250.0,,0.0,9075.0,50950.0,0.0,50.0,400.0,2675.0,5800.0,84575.0,750.0,,1650.0,2275.0,13475.0,0.0,25100.0,0.0,275.0,800.0,0.0,150.0,25.0,43425.0,0.0,1050.0,,0.0,8275.0,19550.0,0.0,50.0,25.0,2400.0,4550.0,72250.0,400.0,,1400.0,2275.0,13475.0,0.0,11825.0,0.0,275.0,800.0,0.0,25.0,25.0,20650.0,50.0,1200.0,,0.0,800.0,31400.0,0.0,0.0,375.0,275.0,1250.0,12325.0,350.0,,250.0,0.0,0.0,0.0,13275.0,0.0,0.0,0.0,0.0,125.0,0.0,22775.0
20200605,50.0,2250.0,,0.0,9075.0,50950.0,0.0,50.0,400.0,2675.0,5800.0,84575.0,750.0,,1650.0,2275.0,13475.0,0.0,25100.0,0.0,275.0,800.0,0.0,150.0,25.0,43425.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,4500.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,2050.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,2250.0,,0.0,9075.0,46450.0,0.0,50.0,200.0,2675.0,5800.0,84575.0,750.0,,1650.0,3175.0,13475.0,0.0,23050.0,0.0,275.0,800.0,0.0,150.0,25.0,43425.0,0.0,1050.0,,0.0,8075.0,19550.0,0.0,50.0,25.0,2400.0,4550.0,70825.0,400.0,,1400.0,2825.0,13475.0,0.0,11825.0,0.0,275.0,800.0,0.0,25.0,25.0,20650.0,50.0,1200.0,,0.0,1000.0,26900.0,0.0,0.0,175.0,275.0,1250.0,13750.0,350.0,,250.0,350.0,0.0,0.0,11225.0,0.0,0.0,0.0,0.0,125.0,0.0,22775.0
20200608,50.0,2250.0,,0.0,9075.0,46450.0,0.0,50.0,200.0,2675.0,5800.0,84575.0,750.0,,1650.0,3175.0,13475.0,0.0,23050.0,0.0,275.0,800.0,0.0,150.0,25.0,43425.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,825.0,0.0,,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1625.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,100.0,0.0,0.0,0.0,525.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,2250.0,,0.0,9075.0,44825.0,0.0,50.0,200.0,2675.0,5800.0,85400.0,750.0,,1550.0,3275.0,13475.0,0.0,22525.0,0.0,275.0,800.0,0.0,150.0,25.0,43425.0,0.0,1050.0,,0.0,8075.0,15100.0,0.0,50.0,25.0,2400.0,4550.0,71650.0,400.0,,1400.0,2925.0,13475.0,0.0,875.0,0.0,275.0,800.0,0.0,25.0,25.0,20650.0,50.0,1200.0,,0.0,1000.0,29725.0,0.0,0.0,175.0,275.0,1250.0,13750.0,350.0,,150.0,350.0,0.0,0.0,21650.0,0.0,0.0,0.0,0.0,125.0,0.0,22775.0
20200609,50.0,2250.0,,0.0,9075.0,44825.0,0.0,50.0,200.0,2675.0,5800.0,85400.0,750.0,,1550.0,3275.0,13475.0,0.0,22525.0,0.0,275.0,800.0,0.0,150.0,25.0,43425.0,0.0,0.0,,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1500.0,0.0,0.0,0.0,0.0,275.0,0.0,0.0,,100.0,0.0,0.0,0.0,2225.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,2250.0,,0.0,9075.0,44325.0,0.0,50.0,200.0,2675.0,5525.0,85400.0,750.0,,1450.0,3275.0,13475.0,0.0,20300.0,0.0,275.0,800.0,0.0,150.0,25.0,43425.0,0.0,1050.0,,0.0,8075.0,1550.0,0.0,50.0,25.0,2400.0,4550.0,71675.0,400.0,,1400.0,2925.0,13475.0,0.0,875.0,0.0,275.0,800.0,0.0,25.0,25.0,20650.0,50.0,1200.0,,0.0,1000.0,42775.0,0.0,0.0,175.0,275.0,975.0,13725.0,350.0,,50.0,350.0,0.0,0.0,19425.0,0.0,0.0,0.0,0.0,125.0,0.0,22775.0
20200610,50.0,2250.0,,0.0,9075.0,44325.0,0.0,50.0,200.0,2675.0,5525.0,85400.0,750.0,,1450.0,3275.0,13475.0,0.0,20300.0,0.0,275.0,800.0,0.0,150.0,25.0,43425.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,375.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,800.0,0.0,0.0,0.0,0.0,300.0,0.0,0.0,,0.0,0.0,0.0,0.0,1150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,2250.0,,0.0,9075.0,43525.0,0.0,50.0,200.0,2675.0,5225.0,85400.0,750.0,,1450.0,3650.0,13475.0,0.0,19150.0,0.0,275.0,800.0,0.0,150.0,25.0,43425.0,0.0,1050.0,,0.0,8075.0,1550.0,0.0,50.0,25.0,2400.0,4550.0,71675.0,400.0,,1400.0,3300.0,13475.0,0.0,875.0,0.0,275.0,800.0,0.0,25.0,25.0,20650.0,50.0,1200.0,,0.0,1000.0,41975.0,0.0,0.0,175.0,275.0,675.0,13725.0,350.0,,50.0,350.0,0.0,0.0,18275.0,0.0,0.0,0.0,0.0,125.0,0.0,22775.0
20200611,50.0,2250.0,,0.0,9075.0,43525.0,0.0,50.0,200.0,2675.0,5225.0,85400.0,750.0,,1450.0,3650.0,13475.0,0.0,19150.0,0.0,275.0,800.0,0.0,150.0,25.0,43425.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4000.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,50.0,150.0,0.0,0.0,0.0,0.0,300.0,0.0,0.0,,0.0,0.0,0.0,0.0,450.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,50.0,2250.0,,0.0,9025.0,43375.0,0.0,50.0,200.0,2675.0,4925.0,89400.0,750.0,,1450.0,3650.0,13475.0,0.0,18700.0,0.0,275.0,800.0,0.0,150.0,25.0,43325.0,0.0,1050.0,,0.0,8075.0,1550.0,0.0,50.0,25.0,2400.0,4550.0,75675.0,400.0,,1400.0,3300.0,13475.0,0.0,875.0,0.0,275.0,800.0,0.0,25.0,25.0,11375.0,50.0,1200.0,,0.0,950.0,41825.0,0.0,0.0,175.0,275.0,375.0,13725.0,350.0,,50.0,350.0,0.0,0.0,17825.0,0.0,0.0,0.0,0.0,125.0,0.0,31950.0
20200612,50.0,2250.0,,0.0,9025.0,43375.0,0.0,50.0,200.0,2675.0,4925.0,89400.0,750.0,,1450.0,3650.0,13475.0,0.0,18700.0,0.0,275.0,800.0,0.0,150.0,25.0,43325.0,0.0,0.0,,0.0,0.0,11600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4575.0,0.0,0.0,,0.0,75.0,2500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1150.0,50.0,2250.0,,0.0,8950.0,52475.0,0.0,50.0,200.0,2675.0,4925.0,89400.0,750.0,,1450.0,3650.0,13475.0,0.0,18700.0,0.0,275.0,800.0,0.0,150.0,25.0,46750.0,0.0,1050.0,,0.0,8075.0,13150.0,0.0,50.0,25.0,2400.0,4550.0,75675.0,400.0,,1400.0,3300.0,13475.0,0.0,875.0,0.0,275.0,800.0,0.0,25.0,25.0,15950.0,50.0,1200.0,,0.0,875.0,39325.0,0.0,0.0,175.0,275.0,375.0,13725.0,350.0,,50.0,350.0,0.0,0.0,17825.0,0.0,0.0,0.0,0.0,125.0,0.0,30800.0
