metal,source,freq,as_of_date,metric,value,unit,is_imputed,method,quality,quality_notes,load_run_id,raw_file,raw_checksum
SILVER,YFINANCE,D,2021-01-04,price_spot_usd,27.284000396728516,usd_per_oz,False,daily,ok,,20260105_173146,yfinance_SI=F,b888e276389e45c69f8468a9aa4f2e79
SILVER,YFINANCE,D,2021-01-05,price_spot_usd,27.570999145507812,usd_per_oz,False,daily,ok,,20260105_173146,yfinance_SI=F,b888e276389e45c69f8468a9aa4f2e79
SILVER,YFINANCE,D,2021-01-06,price_spot_usd,26.972999572753906,usd_per_oz,False,daily,ok,,20260105_173146,yfinance_SI=F,b888e276389e45c69f8468a9aa4f2e79
SILVER,YFINANCE,D,2021-01-07,price_spot_usd,27.200000762939453,usd_per_oz,False,daily,ok,,20260105_173146,yfinance_SI=F,b888e276389e45c69f8468a9aa4f2e79
SILVER,YFINANCE,D,2021-01-08,price_spot_usd,24.582000732421875,usd_per_oz,False,daily,ok,,20260105_173146,yfinance_SI=F,b888e276389e45c69f8468a9aa4f2e79
SILVER,YFINANCE,D,2021-01-11,price_spot_usd,25.23900032043457,usd_per_oz,False,daily,ok,,20260105_173146,yfinance_SI=F,b888e276389e45c69f8468a9aa4f2e79
SILVER,YFINANCE,D,2021-01-12,price_spot_usd,25.384000778198242,usd_per_oz,False,daily,ok,,20260105_173146,yfinance_SI=F,b888e276389e45c69f8468a9aa4f2e79
SILVER,YFINANCE,D,2021-01-13,price_spot_usd,25.520000457763672,usd_per_oz,False,daily,ok,,20260105_173146,yfinance_SI=F,b888e276389e45c69f8468a9aa4f2e79
SILVER,YFINANCE,D,2021-01-14,price_spot_usd,25.746000289916992,usd_per_oz,False,daily,ok,,20260105_173146,yfinance_SI=F,b888e276389e45c69f8468a9aa4f2e79
SILVER,YFINANCE,D,2021-01-15,price_spot_usd,24.825000762939453,usd_per_oz,False,daily,ok,,20260105_173146,yfinance_SI=F,b888e276389e45c69f8468a9aa4f2e79
