metal,source,freq,as_of_date,metric,value,unit,is_imputed,method,quality,quality_notes,load_run_id,raw_file,raw_checksum
COPPER,SHFE,W,2025-01-03,shfe_futures_mt,18094.0,mt,False,w_fri_last,ok,,20251230_113744,weekly_stock_data.csv,dd354da60510a265b490892e76c3d205
COPPER,SHFE,W,2025-01-03,shfe_total_mt,83174.0,mt,False,w_fri_last,ok,,20251230_113744,weekly_stock_data.csv,dd354da60510a265b490892e76c3d205
COPPER,SHFE,W,2025-01-04,shfe_futures_mt,18094.0,mt,True,w_fri_last,ok,,20251230_113744,weekly_stock_data.csv,dd354da60510a265b490892e76c3d205
COPPER,SHFE,W,2025-01-04,shfe_total_mt,83174.0,mt,True,w_fri_last,ok,,20251230_113744,weekly_stock_data.csv,dd354da60510a265b490892e76c3d205
COPPER,SHFE,W,2025-01-05,shfe_futures_mt,18094.0,mt,True,w_fri_last,ok,,20251230_113744,weekly_stock_data.csv,dd354da60510a265b490892e76c3d205
COPPER,SHFE,W,2025-01-05,shfe_total_mt,83174.0,mt,True,w_fri_last,ok,,20251230_113744,weekly_stock_data.csv,dd354da60510a265b490892e76c3d205
COPPER,SHFE,W,2025-01-06,shfe_futures_mt,18094.0,mt,True,w_fri_last,ok,,20251230_113744,weekly_stock_data.csv,dd354da60510a265b490892e76c3d205
COPPER,SHFE,W,2025-01-06,shfe_total_mt,83174.0,mt,True,w_fri_last,ok,,20251230_113744,weekly_stock_data.csv,dd354da60510a265b490892e76c3d205
COPPER,SHFE,W,2025-01-07,shfe_futures_mt,18094.0,mt,True,w_fri_last,ok,,20251230_113744,weekly_stock_data.csv,dd354da60510a265b490892e76c3d205
COPPER,SHFE,W,2025-01-07,shfe_total_mt,83174.0,mt,True,w_fri_last,ok,,20251230_113744,weekly_stock_data.csv,dd354da60510a265b490892e76c3d205
COPPER,SHFE,W,2025-01-08,shfe_futures_mt,18094.0,mt,True,w_fri_last,ok,,20251230_113744,weekly_stock_data.csv,dd354da60510a265b490892e76c3d205
COPPER,SHFE,W,2025-01-08,shfe_total_mt,83174.0,mt,True,w_fri_last,ok,,20251230_113744,weekly_stock_data.csv,dd354da60510a265b490892e76c3d205
COPPER,SHFE,W,2025-01-09,shfe_futures_mt,18094.0,mt,True,w_fri_last,ok,,20251230_113744,weekly_stock_data.csv,dd354da60510a265b490892e76c3d205
COPPER,SHFE,W,2025-01-09,shfe_total_mt,83174.0,mt,True,w_fri_last,ok,,20251230_113744,weekly_stock_data.csv,dd354da60510a265b490892e76c3d205
COPPER,SHFE,W,2025-01-10,shfe_futures_mt,12540.0,mt,False,w_fri_last,ok,,20251230_113744,weekly_stock_data.csv,dd354da60510a265b490892e76c3d205
COPPER,SHFE,W,2025-01-10,shfe_total_mt,78678.0,mt,False,w_fri_last,ok,,20251230_113744,weekly_stock_data.csv,dd354da60510a265b490892e76c3d205
COPPER,SHFE,W,2025-01-11,shfe_futures_mt,12540.0,mt,True,w_fri_last,ok,,20251230_113744,weekly_stock_data.csv,dd354da60510a265b490892e76c3d205
COPPER,SHFE,W,2025-01-11,shfe_total_mt,78678.0,mt,True,w_fri_last,ok,,20251230_113744,weekly_stock_data.csv,dd354da60510a265b490892e76c3d205
COPPER,SHFE,W,2025-01-12,shfe_futures_mt,12540.0,mt,True,w_fri_last,ok,,20251230_113744,weekly_stock_data.csv,dd354da60510a265b490892e76c3d205
COPPER,SHFE,W,2025-01-12,shfe_total_mt,78678.0,mt,True,w_fri_last,ok,,20251230_113744,weekly_stock_data.csv,dd354da60510a265b490892e76c3d205
COPPER,SHFE,W,2025-01-13,shfe_futures_mt,12540.0,mt,True,w_fri_last,ok,,20251230_113744,weekly_stock_data.csv,dd354da60510a265b490892e76c3d205
COPPER,SHFE,W,2025-01-13,shfe_total_mt,78678.0,mt,True,w_fri_last,ok,,20251230_113744,weekly_stock_data.csv,dd354da60510a265b490892e76c3d205
COPPER,SHFE,W,2025-01-14,shfe_futures_mt,12540.0,mt,True,w_fri_last,ok,,20251230_113744,weekly_stock_data.csv,dd354da60510a265b490892e76c3d205
COPPER,SHFE,W,2025-01-14,shfe_total_mt,78678.0,mt,True,w_fri_last,ok,,20251230_113744,weekly_stock_data.csv,dd354da60510a265b490892e76c3d205
COPPER,SHFE,W,2025-01-15,shfe_futures_mt,12540.0,mt,True,w_fri_last,ok,,20251230_113744,weekly_stock_data.csv,dd354da60510a265b490892e76c3d205
COPPER,SHFE,W,2025-01-15,shfe_total_mt,78678.0,mt,True,w_fri_last,ok,,20251230_113744,weekly_stock_data.csv,dd354da60510a265b490892e76c3d205
COPPER,SHFE,W,2025-01-16,shfe_futures_mt,12540.0,mt,True,w_fri_last,ok,,20251230_113744,weekly_stock_data.csv,dd354da60510a265b490892e76c3d205
COPPER,SHFE,W,2025-01-16,shfe_total_mt,78678.0,mt,True,w_fri_last,ok,,20251230_113744,weekly_stock_data.csv,dd354da60510a265b490892e76c3d205
COPPER,SHFE,W,2025-01-17,shfe_futures_mt,15191.0,mt,False,w_fri_last,ok,,20251230_113744,weekly_stock_data.csv,dd354da60510a265b490892e76c3d205
COPPER,SHFE,W,2025-01-17,shfe_total_mt,88796.0,mt,False,w_fri_last,ok,,20251230_113744,weekly_stock_data.csv,dd354da60510a265b490892e76c3d205
COPPER,SHFE,W,2025-01-18,shfe_futures_mt,15191.0,mt,True,w_fri_last,ok,,20251230_113744,weekly_stock_data.csv,dd354da60510a265b490892e76c3d205
COPPER,SHFE,W,2025-01-18,shfe_total_mt,88796.0,mt,True,w_fri_last,ok,,20251230_113744,weekly_stock_data.csv,dd354da60510a265b490892e76c3d205
COPPER,SHFE,W,2025-01-19,shfe_futures_mt,15191.0,mt,True,w_fri_last,ok,,20251230_113744,weekly_stock_data.csv,dd354da60510a265b490892e76c3d205
COPPER,SHFE,W,2025-01-19,shfe_total_mt,88796.0,mt,True,w_fri_last,ok,,20251230_113744,weekly_stock_data.csv,dd354da60510a265b490892e76c3d205
COPPER,SHFE,W,2025-01-20,shfe_futures_mt,15191.0,mt,True,w_fri_last,ok,,20251230_113744,weekly_stock_data.csv,dd354da60510a265b490892e76c3d205
COPPER,SHFE,W,2025-01-20,shfe_total_mt,88796.0,mt,True,w_fri_last,ok,,20251230_113744,weekly_stock_data.csv,dd354da60510a265b490892e76c3d205
COPPER,SHFE,W,2025-01-21,shfe_futures_mt,15191.0,mt,True,w_fri_last,ok,,20251230_113744,weekly_stock_data.csv,dd354da60510a265b490892e76c3d205
COPPER,SHFE,W,2025-01-21,shfe_total_mt,88796.0,mt,True,w_fri_last,ok,,20251230_113744,weekly_stock_data.csv,dd354da60510a265b490892e76c3d205
COPPER,SHFE,W,2025-01-22,shfe_futures_mt,15191.0,mt,True,w_fri_last,ok,,20251230_113744,weekly_stock_data.csv,dd354da60510a265b490892e76c3d205
COPPER,SHFE,W,2025-01-22,shfe_total_mt,88796.0,mt,True,w_fri_last,ok,,20251230_113744,weekly_stock_data.csv,dd354da60510a265b490892e76c3d205
COPPER,SHFE,W,2025-01-23,shfe_futures_mt,15191.0,mt,True,w_fri_last,ok,,20251230_113744,weekly_stock_data.csv,dd354da60510a265b490892e76c3d205
COPPER,SHFE,W,2025-01-23,shfe_total_mt,88796.0,mt,True,w_fri_last,ok,,20251230_113744,weekly_stock_data.csv,dd354da60510a265b490892e76c3d205
COPPER,SHFE,W,2025-01-24,shfe_futures_mt,21765.0,mt,False,w_fri_last,ok,,20251230_113744,weekly_stock_data.csv,dd354da60510a265b490892e76c3d205
COPPER,SHFE,W,2025-01-24,shfe_total_mt,98049.0,mt,False,w_fri_last,ok,,20251230_113744,weekly_stock_data.csv,dd354da60510a265b490892e76c3d205
COPPER,SHFE,W,2025-01-25,shfe_futures_mt,21765.0,mt,True,w_fri_last,ok,,20251230_113744,weekly_stock_data.csv,dd354da60510a265b490892e76c3d205
COPPER,SHFE,W,2025-01-25,shfe_total_mt,98049.0,mt,True,w_fri_last,ok,,20251230_113744,weekly_stock_data.csv,dd354da60510a265b490892e76c3d205
COPPER,SHFE,W,2025-01-26,shfe_futures_mt,21765.0,mt,True,w_fri_last,ok,,20251230_113744,weekly_stock_data.csv,dd354da60510a265b490892e76c3d205
COPPER,SHFE,W,2025-01-26,shfe_total_mt,98049.0,mt,True,w_fri_last,ok,,20251230_113744,weekly_stock_data.csv,dd354da60510a265b490892e76c3d205
COPPER,SHFE,W,2025-01-27,shfe_futures_mt,21765.0,mt,True,w_fri_last,ok,,20251230_113744,weekly_stock_data.csv,dd354da60510a265b490892e76c3d205
COPPER,SHFE,W,2025-01-27,shfe_total_mt,98049.0,mt,True,w_fri_last,ok,,20251230_113744,weekly_stock_data.csv,dd354da60510a265b490892e76c3d205
COPPER,SHFE,W,2025-01-28,shfe_futures_mt,21765.0,mt,True,w_fri_last,ok,,20251230_113744,weekly_stock_data.csv,dd354da60510a265b490892e76c3d205
COPPER,SHFE,W,2025-01-28,shfe_total_mt,98049.0,mt,True,w_fri_last,ok,,20251230_113744,weekly_stock_data.csv,dd354da60510a265b490892e76c3d205
COPPER,SHFE,W,2025-01-29,shfe_futures_mt,21765.0,mt,True,w_fri_last,ok,,20251230_113744,weekly_stock_data.csv,dd354da60510a265b490892e76c3d205
COPPER,SHFE,W,2025-01-29,shfe_total_mt,98049.0,mt,True,w_fri_last,ok,,20251230_113744,weekly_stock_data.csv,dd354da60510a265b490892e76c3d205
COPPER,SHFE,W,2025-01-30,shfe_futures_mt,21765.0,mt,True,w_fri_last,ok,,20251230_113744,weekly_stock_data.csv,dd354da60510a265b490892e76c3d205
COPPER,SHFE,W,2025-01-30,shfe_total_mt,98049.0,mt,True,w_fri_last,ok,,20251230_113744,weekly_stock_data.csv,dd354da60510a265b490892e76c3d205
COPPER,SHFE,W,2025-01-31,shfe_futures_mt,21765.0,mt,True,w_fri_last,ok,,20251230_113744,weekly_stock_data.csv,dd354da60510a265b490892e76c3d205
COPPER,SHFE,W,2025-01-31,shfe_total_mt,98049.0,mt,True,w_fri_last,ok,,20251230_113744,weekly_stock_data.csv,dd354da60510a265b490892e76c3d205
COPPER,SHFE,W,2025-02-01,shfe_futures_mt,21765.0,mt,True,w_fri_last,ok,,20251230_113744,weekly_stock_data.csv,dd354da60510a265b490892e76c3d205
COPPER,SHFE,W,2025-02-01,shfe_total_mt,98049.0,mt,True,w_fri_last,ok,,20251230_113744,weekly_stock_data.csv,dd354da60510a265b490892e76c3d205
COPPER,SHFE,W,2025-02-02,shfe_futures_mt,21765.0,mt,True,w_fri_last,ok,,20251230_113744,weekly_stock_data.csv,dd354da60510a265b490892e76c3d205
COPPER,SHFE,W,2025-02-02,shfe_total_mt,98049.0,mt,True,w_fri_last,ok,,20251230_113744,weekly_stock_data.csv,dd354da60510a265b490892e76c3d205
COPPER,SHFE,W,2025-02-03,shfe_futures_mt,21765.0,mt,True,w_fri_last,ok,,20251230_113744,weekly_stock_data.csv,dd354da60510a265b490892e76c3d205
