日期,保税商品总计_上周小计,保税商品总计_上周期货,保税商品总计_本周小计,保税商品总计_本周期货,保税商品总计_小计增减,保税商品总计_期货增减,保税商品总计_可用库容上周,保税商品总计_可用库容本周,保税商品总计_可用库容增减,完税商品总计_上周小计,完税商品总计_上周期货,完税商品总计_本周小计,完税商品总计_本周期货,完税商品总计_小计增减,完税商品总计_期货增减,完税商品总计_可用库容上周,完税商品总计_可用库容本周,完税商品总计_可用库容增减,总计_上周小计,总计_上周期货,总计_本周小计,总计_本周期货,总计_小计增减,总计_期货增减,总计_可用库容上周,总计_可用库容本周,总计_可用库容增减
20250103,18.0,0.0,18.0,0.0,0.0,0.0,30000.0,30000.0,0.0,74154.0,13011.0,83156.0,18094.0,9002.0,5083.0,930589.0,925506.0,-5083.0,74172.0,13011.0,83174.0,18094.0,9002.0,5083.0,960589.0,955506.0,-5083.0
20250110,18.0,0.0,18.0,0.0,0.0,0.0,30000.0,30000.0,0.0,83156.0,18094.0,78660.0,12540.0,-4496.0,-5554.0,925506.0,931060.0,5554.0,83174.0,18094.0,78678.0,12540.0,-4496.0,-5554.0,955506.0,961060.0,5554.0
20250117,18.0,0.0,18.0,0.0,0.0,0.0,30000.0,30000.0,0.0,78660.0,12540.0,88778.0,15191.0,10118.0,2651.0,931060.0,928409.0,-2651.0,78678.0,12540.0,88796.0,15191.0,10118.0,2651.0,961060.0,958409.0,-2651.0
20250124,18.0,0.0,18.0,0.0,0.0,0.0,30000.0,30000.0,0.0,88778.0,15191.0,98031.0,21765.0,9253.0,6574.0,928409.0,921835.0,-6574.0,88796.0,15191.0,98049.0,21765.0,9253.0,6574.0,958409.0,951835.0,-6574.0
20250207,18.0,0.0,18.0,0.0,0.0,0.0,30000.0,30000.0,0.0,101820.0,25445.0,184799.0,53008.0,82979.0,27563.0,918155.0,890592.0,-27563.0,101838.0,25445.0,184817.0,53008.0,82979.0,27563.0,948155.0,920592.0,-27563.0
20250214,18.0,0.0,18.0,0.0,0.0,0.0,30000.0,30000.0,0.0,184799.0,53008.0,230263.0,111621.0,45464.0,58613.0,890592.0,846979.0,-43613.0,184817.0,53008.0,230281.0,111621.0,45464.0,58613.0,920592.0,876979.0,-43613.0
20250221,18.0,0.0,18.0,0.0,0.0,0.0,30000.0,30000.0,0.0,230263.0,111621.0,260073.0,154085.0,29810.0,42464.0,846979.0,804515.0,-42464.0,230281.0,111621.0,260091.0,154085.0,29810.0,42464.0,876979.0,834515.0,-42464.0
20250228,18.0,0.0,18.0,0.0,0.0,0.0,30000.0,30000.0,0.0,260073.0,154085.0,268319.0,157557.0,8246.0,3472.0,804515.0,801043.0,-3472.0,260091.0,154085.0,268337.0,157557.0,8246.0,3472.0,834515.0,831043.0,-3472.0
20250307,18.0,0.0,18.0,0.0,0.0,0.0,30000.0,30000.0,0.0,268319.0,157557.0,267358.0,157487.0,-961.0,-70.0,801043.0,801113.0,70.0,268337.0,157557.0,267376.0,157487.0,-961.0,-70.0,831043.0,831113.0,70.0
20250314,18.0,0.0,18.0,0.0,0.0,0.0,30000.0,30000.0,0.0,267358.0,157487.0,255454.0,157649.0,-11904.0,162.0,801113.0,800951.0,-162.0,267376.0,157487.0,255472.0,157649.0,-11904.0,162.0,831113.0,830951.0,-162.0
